uuid,correct_gpt4o,correct_claude,correct_gpt5,capsule,question,replica,responded
bix-49-q1_replica_3,FALSE,FALSE,FALSE,bix-49,bix-49-q1,3,TRUE
bix-49-q1_replica_4,FALSE,FALSE,FALSE,bix-49,bix-49-q1,4,TRUE
bix-49-q1_replica_5,FALSE,FALSE,FALSE,bix-49,bix-49-q1,5,TRUE
bix-49-q1_replica_6,FALSE,FALSE,FALSE,bix-49,bix-49-q1,6,TRUE
bix-49-q1_replica_7,FALSE,FALSE,FALSE,bix-49,bix-49-q1,7,TRUE
bix-49-q1_replica_8,FALSE,FALSE,FALSE,bix-49,bix-49-q1,8,TRUE
bix-49-q1_replica_9,FALSE,FALSE,FALSE,bix-49,bix-49-q1,9,TRUE
bix-49-q2_replica_0,FALSE,FALSE,FALSE,bix-49,bix-49-q2,0,TRUE
bix-49-q2_replica_1,FALSE,FALSE,FALSE,bix-49,bix-49-q2,1,TRUE
bix-49-q2_replica_2,FALSE,FALSE,FALSE,bix-49,bix-49-q2,2,TRUE
bix-49-q2_replica_3,FALSE,FALSE,FALSE,bix-49,bix-49-q2,3,TRUE
bix-49-q2_replica_4,FALSE,FALSE,FALSE,bix-49,bix-49-q2,4,TRUE
bix-49-q2_replica_5,FALSE,FALSE,FALSE,bix-49,bix-49-q2,5,TRUE
bix-49-q2_replica_6,FALSE,FALSE,FALSE,bix-49,bix-49-q2,6,TRUE
bix-49-q2_replica_7,FALSE,FALSE,FALSE,bix-49,bix-49-q2,7,TRUE
bix-49-q2_replica_8,FALSE,FALSE,FALSE,bix-49,bix-49-q2,8,TRUE
bix-49-q2_replica_9,FALSE,FALSE,FALSE,bix-49,bix-49-q2,9,TRUE
bix-49-q3_replica_0,FALSE,FALSE,FALSE,bix-49,bix-49-q3,0,TRUE
bix-49-q3_replica_1,FALSE,FALSE,FALSE,bix-49,bix-49-q3,1,TRUE
bix-49-q3_replica_2,FALSE,FALSE,FALSE,bix-49,bix-49-q3,2,TRUE
bix-49-q3_replica_3,FALSE,FALSE,FALSE,bix-49,bix-49-q3,3,TRUE
bix-49-q3_replica_4,FALSE,FALSE,FALSE,bix-49,bix-49-q3,4,TRUE
bix-49-q3_replica_5,FALSE,FALSE,FALSE,bix-49,bix-49-q3,5,TRUE
bix-49-q3_replica_6,FALSE,FALSE,FALSE,bix-49,bix-49-q3,6,TRUE
bix-49-q3_replica_7,FALSE,FALSE,FALSE,bix-49,bix-49-q3,7,TRUE
bix-49-q3_replica_8,FALSE,FALSE,FALSE,bix-49,bix-49-q3,8,TRUE
bix-49-q3_replica_9,FALSE,FALSE,FALSE,bix-49,bix-49-q3,9,TRUE
bix-49-q4_replica_0,FALSE,FALSE,FALSE,bix-49,bix-49-q4,0,TRUE
bix-49-q4_replica_1,FALSE,FALSE,FALSE,bix-49,bix-49-q4,1,TRUE
bix-49-q4_replica_2,FALSE,FALSE,FALSE,bix-49,bix-49-q4,2,TRUE
bix-49-q4_replica_3,FALSE,FALSE,FALSE,bix-49,bix-49-q4,3,TRUE
bix-49-q4_replica_4,FALSE,FALSE,FALSE,bix-49,bix-49-q4,4,TRUE
bix-49-q4_replica_5,FALSE,FALSE,FALSE,bix-49,bix-49-q4,5,TRUE
bix-49-q4_replica_6,FALSE,FALSE,FALSE,bix-49,bix-49-q4,6,TRUE
bix-49-q4_replica_8,FALSE,FALSE,FALSE,bix-49,bix-49-q4,8,TRUE
bix-49-q4_replica_9,FALSE,FALSE,FALSE,bix-49,bix-49-q4,9,TRUE
bix-49-q5_replica_0,TRUE,FALSE,FALSE,bix-49,bix-49-q5,0,TRUE
bix-49-q5_replica_1,TRUE,FALSE,FALSE,bix-49,bix-49-q5,1,TRUE
bix-49-q5_replica_2,TRUE,FALSE,FALSE,bix-49,bix-49-q5,2,TRUE
bix-49-q5_replica_3,TRUE,FALSE,FALSE,bix-49,bix-49-q5,3,TRUE
bix-49-q5_replica_5,TRUE,FALSE,FALSE,bix-49,bix-49-q5,5,TRUE
bix-49-q5_replica_6,TRUE,FALSE,FALSE,bix-49,bix-49-q5,6,TRUE
bix-49-q5_replica_7,TRUE,FALSE,FALSE,bix-49,bix-49-q5,7,TRUE
bix-49-q5_replica_8,TRUE,FALSE,FALSE,bix-49,bix-49-q5,8,TRUE
bix-49-q5_replica_9,TRUE,FALSE,FALSE,bix-49,bix-49-q5,9,TRUE
bix-8-q1_replica_0,TRUE,TRUE,TRUE,bix-8,bix-8-q1,0,TRUE
bix-8-q1_replica_1,TRUE,TRUE,TRUE,bix-8,bix-8-q1,1,TRUE
bix-8-q1_replica_2,TRUE,TRUE,TRUE,bix-8,bix-8-q1,2,TRUE
bix-8-q1_replica_3,TRUE,TRUE,TRUE,bix-8,bix-8-q1,3,TRUE
bix-8-q1_replica_4,TRUE,TRUE,TRUE,bix-8,bix-8-q1,4,TRUE
bix-8-q1_replica_5,TRUE,TRUE,TRUE,bix-8,bix-8-q1,5,TRUE
bix-8-q1_replica_6,TRUE,TRUE,TRUE,bix-8,bix-8-q1,6,TRUE
bix-8-q1_replica_7,TRUE,TRUE,TRUE,bix-8,bix-8-q1,7,TRUE
bix-8-q1_replica_8,TRUE,TRUE,TRUE,bix-8,bix-8-q1,8,TRUE
bix-8-q1_replica_9,TRUE,TRUE,TRUE,bix-8,bix-8-q1,9,TRUE
bix-8-q2_replica_0,FALSE,FALSE,FALSE,bix-8,bix-8-q2,0,TRUE
bix-8-q2_replica_1,TRUE,TRUE,TRUE,bix-8,bix-8-q2,1,TRUE
bix-8-q2_replica_2,TRUE,TRUE,TRUE,bix-8,bix-8-q2,2,TRUE
bix-8-q2_replica_3,TRUE,TRUE,TRUE,bix-8,bix-8-q2,3,TRUE
bix-8-q2_replica_4,TRUE,TRUE,TRUE,bix-8,bix-8-q2,4,TRUE
bix-8-q2_replica_5,TRUE,TRUE,TRUE,bix-8,bix-8-q2,5,TRUE
bix-8-q2_replica_6,TRUE,TRUE,TRUE,bix-8,bix-8-q2,6,TRUE
bix-8-q2_replica_7,TRUE,TRUE,TRUE,bix-8,bix-8-q2,7,TRUE
bix-8-q2_replica_8,TRUE,TRUE,TRUE,bix-8,bix-8-q2,8,TRUE
bix-8-q2_replica_9,TRUE,TRUE,TRUE,bix-8,bix-8-q2,9,TRUE
bix-8-q3_replica_0,TRUE,TRUE,TRUE,bix-8,bix-8-q3,0,TRUE
bix-8-q3_replica_1,TRUE,TRUE,TRUE,bix-8,bix-8-q3,1,TRUE
bix-8-q3_replica_2,FALSE,FALSE,FALSE,bix-8,bix-8-q3,2,TRUE
bix-8-q3_replica_3,TRUE,TRUE,TRUE,bix-8,bix-8-q3,3,TRUE
bix-8-q3_replica_4,TRUE,TRUE,TRUE,bix-8,bix-8-q3,4,TRUE
bix-8-q3_replica_5,TRUE,TRUE,TRUE,bix-8,bix-8-q3,5,TRUE
bix-8-q3_replica_6,TRUE,TRUE,TRUE,bix-8,bix-8-q3,6,TRUE
bix-8-q3_replica_7,TRUE,TRUE,TRUE,bix-8,bix-8-q3,7,TRUE
bix-8-q3_replica_8,TRUE,TRUE,TRUE,bix-8,bix-8-q3,8,TRUE
bix-8-q3_replica_9,TRUE,TRUE,TRUE,bix-8,bix-8-q3,9,TRUE
bix-8-q5_replica_0,FALSE,TRUE,TRUE,bix-8,bix-8-q5,0,TRUE
bix-8-q5_replica_1,FALSE,TRUE,TRUE,bix-8,bix-8-q5,1,TRUE
bix-8-q5_replica_2,FALSE,TRUE,TRUE,bix-8,bix-8-q5,2,TRUE
bix-8-q5_replica_3,FALSE,TRUE,TRUE,bix-8,bix-8-q5,3,TRUE
bix-8-q5_replica_4,FALSE,TRUE,TRUE,bix-8,bix-8-q5,4,TRUE
bix-8-q5_replica_5,FALSE,TRUE,TRUE,bix-8,bix-8-q5,5,TRUE
bix-8-q5_replica_6,FALSE,TRUE,TRUE,bix-8,bix-8-q5,6,TRUE
bix-8-q5_replica_7,FALSE,TRUE,TRUE,bix-8,bix-8-q5,7,TRUE
bix-8-q5_replica_8,FALSE,TRUE,TRUE,bix-8,bix-8-q5,8,TRUE
bix-8-q5_replica_9,FALSE,TRUE,TRUE,bix-8,bix-8-q5,9,TRUE
bix-8-q6_replica_0,FALSE,FALSE,FALSE,bix-8,bix-8-q6,0,TRUE
bix-8-q6_replica_1,FALSE,FALSE,FALSE,bix-8,bix-8-q6,1,TRUE
bix-8-q6_replica_2,FALSE,FALSE,FALSE,bix-8,bix-8-q6,2,TRUE
bix-8-q6_replica_3,FALSE,FALSE,FALSE,bix-8,bix-8-q6,3,TRUE
bix-8-q6_replica_4,TRUE,FALSE,FALSE,bix-8,bix-8-q6,4,TRUE
bix-8-q6_replica_5,FALSE,FALSE,FALSE,bix-8,bix-8-q6,5,TRUE
bix-8-q6_replica_6,FALSE,FALSE,FALSE,bix-8,bix-8-q6,6,TRUE
bix-8-q6_replica_7,FALSE,FALSE,FALSE,bix-8,bix-8-q6,7,TRUE
bix-8-q6_replica_8,FALSE,FALSE,FALSE,bix-8,bix-8-q6,8,TRUE
bix-8-q6_replica_9,FALSE,FALSE,FALSE,bix-8,bix-8-q6,9,TRUE
bix-8-q7_replica_0,FALSE,FALSE,FALSE,bix-8,bix-8-q7,0,TRUE
bix-8-q7_replica_1,FALSE,FALSE,FALSE,bix-8,bix-8-q7,1,TRUE
bix-8-q7_replica_2,FALSE,FALSE,FALSE,bix-8,bix-8-q7,2,TRUE
bix-8-q7_replica_3,FALSE,FALSE,FALSE,bix-8,bix-8-q7,3,TRUE
bix-8-q7_replica_4,TRUE,TRUE,TRUE,bix-8,bix-8-q7,4,TRUE
bix-8-q7_replica_5,FALSE,FALSE,FALSE,bix-8,bix-8-q7,5,TRUE
bix-8-q7_replica_6,FALSE,FALSE,FALSE,bix-8,bix-8-q7,6,TRUE
bix-8-q7_replica_7,FALSE,FALSE,FALSE,bix-8,bix-8-q7,7,TRUE
bix-8-q7_replica_8,FALSE,FALSE,FALSE,bix-8,bix-8-q7,8,TRUE
bix-8-q7_replica_9,FALSE,FALSE,FALSE,bix-8,bix-8-q7,9,TRUE
bix-26-q3_replica_4,NA,NA,NA,bix-26,bix-26-q3,4,FALSE
bix-26-q3_replica_5,NA,NA,NA,bix-26,bix-26-q3,5,FALSE
bix-26-q3_replica_6,NA,NA,NA,bix-26,bix-26-q3,6,FALSE
bix-26-q3_replica_9,NA,NA,NA,bix-26,bix-26-q3,9,FALSE
bix-26-q4_replica_2,NA,NA,NA,bix-26,bix-26-q4,2,FALSE
bix-26-q4_replica_8,NA,NA,NA,bix-26,bix-26-q4,8,FALSE
bix-26-q4_replica_9,NA,NA,NA,bix-26,bix-26-q4,9,FALSE
bix-26-q5_replica_3,NA,NA,NA,bix-26,bix-26-q5,3,FALSE
bix-49-q4_replica_7,NA,NA,NA,bix-49,bix-49-q4,7,FALSE
bix-49-q5_replica_4,NA,NA,NA,bix-49,bix-49-q5,4,FALSE
