capsule,n_questions,n_llm_verifier,n_str_verifier,n_range_verifier,mean_question_chars,topics,hypothesis,source_paper,family_size,piloted,pilot_max_steps,cost_valid_at_40,usd_per_replica,min_per_replica,usd_per_rollout,actions_min,actions_median,actions_max,n_hit_ceiling,n_empty_answer,n_correct_exact
bix-25,2,2,0,0,64,Genomics; Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),Treeness/RCV values differ between fungal and animal single-copy orthologous genes and correlate with alignment properties.,,1,False,,,,,,,,,,,
bix-26,3,0,3,0,302,Differential Expression Analysis; RNA-seq; Sequence Analysis; Transcriptomics,Downstream gene expression of rhlI and lasI mutants is altered in different media suggesting that quorum sensing-mediated division of labor is environment-dependent.,https://doi.org/10.17912/micropub.biology.001326,7,True,40,True,2.3587,9.3,0.7862,14,18,28,0,0,1
bix-27,3,1,0,2,252,Machine Learning and Artificial Intelligence; RNA-seq; Transcriptomics,"Alzheimer’s disease patients can be subtyped by gene expression, suggesting distinct mechanisms and therapeutic targets.",https://doi.org/10.5061/dryad.ttdz08kxq,1,False,,,,,,,,,,,
bix-28,6,6,0,0,84,Genomics; Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),"Long branch scores differ significantly between fungal and animal phylogenies, indicating different evolutionary patterns.",,1,False,,,,,,,,,,,
bix-29,4,3,0,1,245,Other,Prior history of severe disease correlates with increased COVID-19 severity among healthcarre workers following BCG re-vaccination,https://zenodo.org/records/12737228,2,False,,,,,,,,,,,
bix-30,4,0,4,0,202,Differential Expression Analysis; Transcriptomics,Serum miRNAs can be used as Myotonic Dystrophy Type 1 Biomarkers,10.1371/journal.pone.0150501,1,False,,,,,,,,,,,
bix-31,4,0,3,1,220,Differential Expression Analysis; RNA-seq; Transcriptomics,Sex-specific differences in gene expression are more pronounced in protein-coding genes within CD4 and CD8 cells,https://zenodo.org/records/10000430,3,False,,,,,,,,,,,
bix-32,3,2,1,0,274,Differential Expression Analysis; RNA-seq; Sequence Analysis; Transcriptomics,"Knocking out either lasI, rhlI, or both simultaneously, alters the expression of numerous downstream pathways of diverse functions.",https://doi.org/10.17912/micropub.biology.001326,7,False,,,,,,,,,,,
bix-33,2,0,2,0,122,Differential Expression Analysis; Single-Cell Analysis,AAV9 mini-dystrophin treatment leads to a downregulation of anti-inflammatory pathways in peripheral immune cells,https://doi.org/10.5281/zenodo.13935259,1,False,,,,,,,,,,,
bix-34,6,6,0,0,78,Genomics; Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),"Patristic distances differ between fungal and animal phylogenies, reflecting different evolutionary rates and patterns.",,1,False,,,,,,,,,,,
bix-35,4,4,0,0,160,Genomics; Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),"Evolutionary rates differ significantly between fungal and animal lineages, with fungi showing accelerated evolution.",,1,False,,,,,,,,,,,
bix-36,4,0,1,3,118,Differential Expression Analysis; RNA-seq; Sequence Analysis; Transcriptomics,miRNAs exhibit a constant expression profile across immune-related cell types,https://zenodo.org/records/10000430,3,False,,,,,,,,,,,
bix-37,4,1,3,0,126,Differential Expression Analysis; Proteomics; RNA-seq,"Proteomics levels of ENO1 are different between tumour and control, in human bladder cancer",10.17632/dj4sb8h3c3.1,2,False,,,,,,,,,,,
bix-38,5,5,0,0,106,Genomics; Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),"Tree lengths differ significantly between fungal and animal phylogenies, with fungi showing longer tree lengths indicative of greater evolutionary divergence.",,1,False,,,,,,,,,,,
bix-39,1,0,1,0,147,Genomic Variant Analysis; Genomics,"Bloom Syndrome (BSyn) probands and BLM mutation carriers will have a higher number of low-frequency, somatic CHIP gene variants (VAF < 0.3) compared to control cohorts, given that Bloom Syndrome is characterized by increased genomic instability.",https://doi.org/10.3324/haematol.2024.285239,4,False,,,,,,,,,,,
bix-41,4,0,3,1,199,Imaging,"Co-culturing the strains with single-gene knockouts (ΔrhlI and ΔlasI) in the reciprocal QS pathways rhl and las, restores wildtype swarming behavior for the population as a whole, albeit in a density-dependent manner.",https://doi.org/10.17912/micropub.biology.001326,7,False,,,,,,,,,,,
bix-42,2,1,1,0,114,Genomics; Integrative Omics; Machine Learning and Artificial Intelligence; Other; Transcriptomics,Multimodal integration of RNA expression data and DNA methylation data improves the accuracy of colon cancer survival prediction compared to single-modality models.,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0305268,1,False,,,,,,,,,,,
bix-43,5,2,3,0,289,Differential Expression Analysis; RNA-seq; Transcriptomics,combination treatment of CBD and chemotheraputics of CRC cells enriches for cell cycle regulation and apoptosis processes,"https://zenodo.org/records/8353706, https://www.mdpi.com/1422-0067/24/19/14743",2,True,20,False,3.2203,15.3,0.6441,17,20,20,0,2,0
bix-45,4,4,0,0,90,Genomics; Phylogenetics; Whole Genome Sequencing (WGS),"Relative Composition Variability (RCV) analysis reveals significant differences in compositional heterogeneity between animal and fungal orthologous genes, with fungi showing higher compositional bias.",,1,False,,,,,,,,,,,
bix-46,2,0,2,0,128,Differential Expression Analysis; RNA-seq; Sequence Analysis; Transcriptomics,Genes that are downregulated in either ΔrhlI or ΔlasI strains are candidates for receiving complementation from the other strain and are therefore important candidates for mediating division of labor.,https://doi.org/10.17912/micropub.biology.001326,7,False,,,,,,,,,,,
bix-47,2,0,2,0,91,Genomic Variant Analysis; Genomics,"We hypothesize that the gene distribution of putative somatic CHIP variants are not significantly different across individuals with or without mutations in the BLM gene (i.e. Bloom syndrome probands, carriers, and controls).",https://doi.org/10.3324/haematol.2024.285239,4,False,,,,,,,,,,,
bix-49,5,0,5,0,226,Differential Expression Analysis; RNA-seq; Transcriptomics,"Truncating ASXL1 mutations that cause Bohring-Opitz syndrome will lead to significant dysregulation of gene expression in blood RNA-seq, with a higher number of differentially expressed genes (DEGs) compared to fibroblast RNA-seq due to the complex cellular composition of blood.",https://doi.org/10.1172/jci.insight.167744,4,True,40,True,2.1758,4.6,0.4352,12,16,18,0,0,0
bix-51,7,0,0,7,149,Other,"Patient demographics (age, BMI, gender) significantly influence the likelihood of achieving remission (CR/PR) with camrelizumab in advanced hepatocellular carcinoma",,1,False,,,,,,,,,,,
bix-52,6,1,1,4,146,Epigenomics,Age-Related DNA Methylation is Equally Distributed Across Chromosomes,https://doi.org/10.5061/dryad.wm37pvmw8,1,False,,,,,,,,,,,
bix-53,5,2,3,0,365,Differential Expression Analysis; RNA-seq; Sequence Analysis; Transcriptomics,UBEM2 KD in macrophages attenuates antioxidant processes in the cells,"https://zenodo.org/records/14063261, https://www.jbc.org/article/S0021-9258(24)02587-0/fulltext",1,True,20,False,2.8571,11.8,0.5714,14,20,20,0,2,1
bix-54,7,0,0,7,158,Imaging,"QS gene mutants ΔrhlI and ΔlasI demonstrate division of labor when they are co-cultured at an optimal ratio, leading to improved fitness even when compared with wildtype fitness.",https://doi.org/10.17912/micropub.biology.001326,7,False,,,,,,,,,,,
bix-55,1,1,0,0,132,Genomics; Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),BUSCO analysis can identify shared single-copy orthologs across distantly related species.,,1,False,,,,,,,,,,,
bix-56,1,1,0,0,77,Genomics; Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),Orthologous protein sequences can be successfully extracted and compiled from BUSCO results across multiple species for comparative analysis.,,1,False,,,,,,,,,,,
bix-57,1,1,0,0,153,Genomics; Phylogenetics and Evolutionary Analysis,Multiple sequence alignment can be performed on orthologous protein sequences with measurable gap content reflecting evolutionary insertions and deletions.,,1,False,,,,,,,,,,,
bix-58,1,1,0,0,104,Genomics; Phylogenetics and Evolutionary Analysis,Alignment trimming can improve phylogenetic signal by removing poorly aligned regions while preserving informative sites.,,1,False,,,,,,,,,,,
bix-60,1,1,0,0,142,Genomics; Phylogenetics and Evolutionary Analysis,Phylogenetic trees can be assessed for quality using treeness statistics that measure the strength of hierarchical phylogenetic signal.,,1,False,,,,,,,,,,,
bix-61,6,6,0,0,201,Antimicrobial Resistance; Genomics; SNP Analysis; Whole Genome Sequencing (WGS),"Multi-drug resistant (MDR) E. coli strains will exhibit higher mutation rates resulting in more SNPs compared to retail meat isolates, and transition mutations will predominate over transversions in both samples.",,1,False,,,,,,,,,,,
